nom,twitter,slug
Stéphane Travert,StTRAVERT,stephane-travert
Catherine Troallic,CaTroallic,catherine-troallic
Jean-Jacques Urvoas,JJUrvoas,jean-jacques-urvoas
Daniel Vaillant,danielvaillant,daniel-vaillant
Jacques Valax,jvalax,jacques-valax
Clotilde Valter,ClotildeVALTER,clotilde-valter
François Vannson,fvannson,francois-vannson
Catherine Vautrin,CaVautrin,catherine-vautrin
Michel Vauzelle,Vauzelle,michel-vauzelle
Fabrice Verdier,F_Verdier,fabrice-verdier
Michel Vergnier,MichelVERGNIER,michel-vergnier
Jean-Sébastien Vialatte,JS_Vialatte,jean-sebastien-vialatte
Philippe Vigier,VigierPhilippe,philippe-vigier
Patrick Vignal,PatrickVignal,patrick-vignal
François-Xavier Villain,fxvillain,francois-xavier-villain
Philippe Vitel,PhilippeVitel,philippe-vitel
Jean Jacques Vlody,jvlody,jean-jacques-vlody
Olivier Véran,olivierveran,olivier-veran
Laurent Wauquiez,laurentwauquiez,laurent-wauquiez
Éric Woerth,ericwoerth,eric-woerth
Michel Zumkeller,MichelZumkeller,michel-zumkeller
